dataset_id,dataset_authors,humeral_motion,thoracohumeral_sequence,thoracohumeral_angle,joint,parent,child,euler_sequence,rotation_absolute,origin_displacement,displacement_cs,displacement_absolute,is_data_mean,shoulder_id,side,source_extraction,folder,dof_1st_euler,dof_2nd_euler,dof_3rd_euler,dof_translation_x,dof_translation_y,dof_translation_z
#1,Begon et al.,frontal plane elevation,zy'z'',y',glenohumeral,scapula,humerus,zy'z'',True,GH,parent,False,False,1,left,authors table,#1_Begon_et_al,GH_planeElevation_elevationFrontal_1_closest_to_mean.csv,GH_elevation_elevationFrontal_1_closest_to_mean.csv,GH_IntRotation_elevationFrontal_1_closest_to_mean.csv,GH_medTranslation_elevationFrontal_1_closest_to_mean.csv,GH_antTranslation_elevationFrontal_1_closest_to_mean.csv,GH_supTranslation_elevationFrontal_1_closest_to_mean.csv
#1,Begon et al.,frontal plane elevation,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,SC,parent,False,False,1,left,authors table,#1_Begon_et_al,ST_Protraction_elevationFrontal_1_closest_to_mean.csv,ST_medRotation_elevationFrontal_1_closest_to_mean.csv,ST_tilt_elevationFrontal_1_closest_to_mean.csv,ST_medTranslation_elevationFrontal_1_closest_to_mean.csv,ST_antTranslation_elevationFrontal_1_closest_to_mean.csv,ST_supTranslation_elevationFrontal_1_closest_to_mean.csv
#1,Begon et al.,frontal plane elevation,zy'z'',y',acromioclavicular,clavicle,scapula,zy'x'',True,AC,parent,False,False,1,left,authors table,#1_Begon_et_al,AC_Protraction_elevationFrontal_1_closest_to_mean.csv,AC_medRotation_elevationFrontal_1_closest_to_mean.csv,AC_tilt_elevationFrontal_1_closest_to_mean.csv,AC_medTranslation_elevationFrontal_1_closest_to_mean.csv,AC_antTranslation_elevationFrontal_1_closest_to_mean.csv,AC_supTranslation_elevationFrontal_1_closest_to_mean.csv
#1,Begon et al.,frontal plane elevation,zy'z'',y',sternoclavicular,thorax,clavicle,zy'x'',True,SC,parent,False,False,1,left,authors table,#1_Begon_et_al,SC_Protraction_elevationFrontal_1_closest_to_mean.csv,SC_elevation_elevationFrontal_1_closest_to_mean.csv,SC_rotation_elevationFrontal_1_closest_to_mean.csv,SC_medTranslation_elevationFrontal_1_closest_to_mean.csv,SC_antTranslation_elevationFrontal_1_closest_to_mean.csv,SC_supTranslation_elevationFrontal_1_closest_to_mean.csv
#1,Begon et al.,sagittal plane elevation,zy'z'',y',glenohumeral,scapula,humerus,zy'z'',True,GH,parent,False,False,1,left,authors table,#1_Begon_et_al,GH_planeElevation_elevationSagittal_1_closest_to_mean.csv,GH_elevation_elevationSagittal_1_closest_to_mean.csv,GH_IntRotation_elevationSagittal_1_closest_to_mean.csv,GH_medTranslation_elevationSagittal_1_closest_to_mean.csv,GH_antTranslation_elevationSagittal_1_closest_to_mean.csv,GH_supTranslation_elevationSagittal_1_closest_to_mean.csv
#1,Begon et al.,sagittal plane elevation,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,SC,parent,False,False,1,left,authors table,#1_Begon_et_al,ST_Protraction_elevationSagittal_1_closest_to_mean.csv,ST_medRotation_elevationSagittal_1_closest_to_mean.csv,ST_tilt_elevationSagittal_1_closest_to_mean.csv,ST_medTranslation_elevationSagittal_1_closest_to_mean.csv,ST_antTranslation_elevationSagittal_1_closest_to_mean.csv,ST_supTranslation_elevationSagittal_1_closest_to_mean.csv
#1,Begon et al.,sagittal plane elevation,zy'z'',y',acromioclavicular,clavicle,scapula,zy'x'',True,AC,parent,False,False,1,left,authors table,#1_Begon_et_al,AC_Protraction_elevationSagittal_1_closest_to_mean.csv,AC_medRotation_elevationSagittal_1_closest_to_mean.csv,AC_tilt_elevationSagittal_1_closest_to_mean.csv,AC_medTranslation_elevationSagittal_1_closest_to_mean.csv,AC_antTranslation_elevationSagittal_1_closest_to_mean.csv,AC_supTranslation_elevationSagittal_1_closest_to_mean.csv
#1,Begon et al.,sagittal plane elevation,zy'z'',y',sternoclavicular,thorax,clavicle,zy'x'',True,SC,parent,False,False,1,left,authors table,#1_Begon_et_al,SC_Protraction_elevationSagittal_1_closest_to_mean.csv,SC_elevation_elevationSagittal_1_closest_to_mean.csv,SC_rotation_elevationSagittal_1_closest_to_mean.csv,SC_medTranslation_elevationSagittal_1_closest_to_mean.csv,SC_antTranslation_elevationSagittal_1_closest_to_mean.csv,SC_supTranslation_elevationSagittal_1_closest_to_mean.csv
#1,Begon et al.,internal-external rotation 0 degree-abducted,zy'z'',z'',glenohumeral,scapula,humerus,zy'z'',True,GH,parent,False,False,1,left,authors table,#1_Begon_et_al,GH_planeElevation_rotation0Abd_1_closest_to_mean.csv,GH_elevation_rotation0Abd_1_closest_to_mean.csv,GH_IntRotation_rotation0Abd_1_closest_to_mean.csv,GH_medTranslation_rotation0Abd_1_closest_to_mean.csv,GH_antTranslation_rotation0Abd_1_closest_to_mean.csv,GH_supTranslation_rotation0Abd_1_closest_to_mean.csv
#1,Begon et al.,internal-external rotation 0 degree-abducted,zy'z'',z'',scapulothoracic,thorax,scapula,zy'x'',True,SC,parent,False,False,1,left,authors table,#1_Begon_et_al,ST_Protraction_rotation0Abd_1_closest_to_mean.csv,ST_medRotation_rotation0Abd_1_closest_to_mean.csv,ST_tilt_rotation0Abd_1_closest_to_mean.csv,ST_medTranslation_rotation0Abd_1_closest_to_mean.csv,ST_antTranslation_rotation0Abd_1_closest_to_mean.csv,ST_supTranslation_rotation0Abd_1_closest_to_mean.csv
#1,Begon et al.,internal-external rotation 0 degree-abducted,zy'z'',z'',acromioclavicular,clavicle,scapula,zy'x'',True,AC,parent,False,False,1,left,authors table,#1_Begon_et_al,AC_Protraction_rotation0Abd_1_closest_to_mean.csv,AC_medRotation_rotation0Abd_1_closest_to_mean.csv,AC_tilt_rotation0Abd_1_closest_to_mean.csv,AC_medTranslation_rotation0Abd_1_closest_to_mean.csv,AC_antTranslation_rotation0Abd_1_closest_to_mean.csv,AC_supTranslation_rotation0Abd_1_closest_to_mean.csv
#1,Begon et al.,internal-external rotation 0 degree-abducted,zy'z'',z'',sternoclavicular,thorax,clavicle,zy'x'',True,SC,parent,False,False,1,left,authors table,#1_Begon_et_al,SC_Protraction_rotation0Abd_1_closest_to_mean.csv,SC_elevation_rotation0Abd_1_closest_to_mean.csv,SC_rotation_rotation0Abd_1_closest_to_mean.csv,SC_medTranslation_rotation0Abd_1_closest_to_mean.csv,SC_antTranslation_rotation0Abd_1_closest_to_mean.csv,SC_supTranslation_rotation0Abd_1_closest_to_mean.csv
#1,Begon et al.,internal-external rotation 90 degree-abducted,zy'z'',z'',glenohumeral,scapula,humerus,zy'z'',True,GH,parent,False,False,1,left,authors table,#1_Begon_et_al,GH_planeElevation_rotation90Abd_1_closest_to_mean.csv,GH_elevation_rotation90Abd_1_closest_to_mean.csv,GH_IntRotation_rotation90Abd_1_closest_to_mean.csv,GH_medTranslation_rotation90Abd_1_closest_to_mean.csv,GH_antTranslation_rotation90Abd_1_closest_to_mean.csv,GH_supTranslation_rotation90Abd_1_closest_to_mean.csv
#1,Begon et al.,internal-external rotation 90 degree-abducted,zy'z'',z'',scapulothoracic,thorax,scapula,zy'x'',True,SC,parent,False,False,1,left,authors table,#1_Begon_et_al,ST_Protraction_rotation90Abd_1_closest_to_mean.csv,ST_medRotation_rotation90Abd_1_closest_to_mean.csv,ST_tilt_rotation90Abd_1_closest_to_mean.csv,ST_medTranslation_rotation90Abd_1_closest_to_mean.csv,ST_antTranslation_rotation90Abd_1_closest_to_mean.csv,ST_supTranslation_rotation90Abd_1_closest_to_mean.csv
#1,Begon et al.,internal-external rotation 90 degree-abducted,zy'z'',z'',acromioclavicular,clavicle,scapula,zy'x'',True,AC,parent,False,False,1,left,authors table,#1_Begon_et_al,AC_Protraction_rotation90Abd_1_closest_to_mean.csv,AC_medRotation_rotation90Abd_1_closest_to_mean.csv,AC_tilt_rotation90Abd_1_closest_to_mean.csv,AC_medTranslation_rotation90Abd_1_closest_to_mean.csv,AC_antTranslation_rotation90Abd_1_closest_to_mean.csv,AC_supTranslation_rotation90Abd_1_closest_to_mean.csv
#1,Begon et al.,internal-external rotation 90 degree-abducted,zy'z'',z'',sternoclavicular,thorax,clavicle,zy'x'',True,SC,parent,False,False,1,left,authors table,#1_Begon_et_al,SC_Protraction_rotation90Abd_1_closest_to_mean.csv,SC_elevation_rotation90Abd_1_closest_to_mean.csv,SC_rotation_rotation90Abd_1_closest_to_mean.csv,SC_medTranslation_rotation90Abd_1_closest_to_mean.csv,SC_antTranslation_rotation90Abd_1_closest_to_mean.csv,SC_supTranslation_rotation90Abd_1_closest_to_mean.csv
#1,Begon et al.,frontal plane elevation,zy'z'',y',glenohumeral,scapula,humerus,zy'z'',True,GH,parent,False,False,2,left,authors table,#1_Begon_et_al,GH_planeElevation_elevationFrontal_2_closest_to_mean.csv,GH_elevation_elevationFrontal_2_closest_to_mean.csv,GH_IntRotation_elevationFrontal_2_closest_to_mean.csv,GH_medTranslation_elevationFrontal_2_closest_to_mean.csv,GH_antTranslation_elevationFrontal_2_closest_to_mean.csv,GH_supTranslation_elevationFrontal_2_closest_to_mean.csv
#1,Begon et al.,frontal plane elevation,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,SC,parent,False,False,2,left,authors table,#1_Begon_et_al,ST_Protraction_elevationFrontal_2_closest_to_mean.csv,ST_medRotation_elevationFrontal_2_closest_to_mean.csv,ST_tilt_elevationFrontal_2_closest_to_mean.csv,ST_medTranslation_elevationFrontal_2_closest_to_mean.csv,ST_antTranslation_elevationFrontal_2_closest_to_mean.csv,ST_supTranslation_elevationFrontal_2_closest_to_mean.csv
#1,Begon et al.,frontal plane elevation,zy'z'',y',acromioclavicular,clavicle,scapula,zy'x'',True,AC,parent,False,False,2,left,authors table,#1_Begon_et_al,AC_Protraction_elevationFrontal_2_closest_to_mean.csv,AC_medRotation_elevationFrontal_2_closest_to_mean.csv,AC_tilt_elevationFrontal_2_closest_to_mean.csv,AC_medTranslation_elevationFrontal_2_closest_to_mean.csv,AC_antTranslation_elevationFrontal_2_closest_to_mean.csv,AC_supTranslation_elevationFrontal_2_closest_to_mean.csv
#1,Begon et al.,frontal plane elevation,zy'z'',y',sternoclavicular,thorax,clavicle,zy'x'',True,SC,parent,False,False,2,left,authors table,#1_Begon_et_al,SC_Protraction_elevationFrontal_2_closest_to_mean.csv,SC_elevation_elevationFrontal_2_closest_to_mean.csv,SC_rotation_elevationFrontal_2_closest_to_mean.csv,SC_medTranslation_elevationFrontal_2_closest_to_mean.csv,SC_antTranslation_elevationFrontal_2_closest_to_mean.csv,SC_supTranslation_elevationFrontal_2_closest_to_mean.csv
#1,Begon et al.,sagittal plane elevation,zy'z'',y',glenohumeral,scapula,humerus,zy'z'',True,GH,parent,False,False,2,left,authors table,#1_Begon_et_al,GH_planeElevation_elevationSagittal_2_closest_to_mean.csv,GH_elevation_elevationSagittal_2_closest_to_mean.csv,GH_IntRotation_elevationSagittal_2_closest_to_mean.csv,GH_medTranslation_elevationSagittal_2_closest_to_mean.csv,GH_antTranslation_elevationSagittal_2_closest_to_mean.csv,GH_supTranslation_elevationSagittal_2_closest_to_mean.csv
#1,Begon et al.,sagittal plane elevation,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,SC,parent,False,False,2,left,authors table,#1_Begon_et_al,ST_Protraction_elevationSagittal_2_closest_to_mean.csv,ST_medRotation_elevationSagittal_2_closest_to_mean.csv,ST_tilt_elevationSagittal_2_closest_to_mean.csv,ST_medTranslation_elevationSagittal_2_closest_to_mean.csv,ST_antTranslation_elevationSagittal_2_closest_to_mean.csv,ST_supTranslation_elevationSagittal_2_closest_to_mean.csv
#1,Begon et al.,sagittal plane elevation,zy'z'',y',acromioclavicular,clavicle,scapula,zy'x'',True,AC,parent,False,False,2,left,authors table,#1_Begon_et_al,AC_Protraction_elevationSagittal_2_closest_to_mean.csv,AC_medRotation_elevationSagittal_2_closest_to_mean.csv,AC_tilt_elevationSagittal_2_closest_to_mean.csv,AC_medTranslation_elevationSagittal_2_closest_to_mean.csv,AC_antTranslation_elevationSagittal_2_closest_to_mean.csv,AC_supTranslation_elevationSagittal_2_closest_to_mean.csv
